"Date","Price","Open","High","Low","Change %"
"Sep 23, 2015","8.2855","8.2834","8.3109","8.2456","-0.03%"
"Sep 22, 2015","8.2880","8.2192","8.3046","8.2000","0.79%"
"Sep 21, 2015","8.2233","8.1528","8.2333","8.1423","0.80%"
"Sep 18, 2015","8.1581","8.0857","8.1902","8.0414","0.91%"
"Sep 17, 2015","8.0846","8.1441","8.1738","8.0439","-0.80%"
"Sep 16, 2015","8.1494","8.1957","8.2409","8.1091","-0.56%"
"Sep 15, 2015","8.1952","8.1893","8.2298","8.1639","0.07%"
"Sep 14, 2015","8.1893","8.1451","8.2257","8.1080","0.45%"
"Sep 11, 2015","8.1523","8.1775","8.2362","8.1170","-0.37%"
"Sep 10, 2015","8.1822","8.2249","8.2682","8.1574","-0.44%"
"Sep 09, 2015","8.2183","8.2356","8.2723","8.2048","-0.22%"
"Sep 08, 2015","8.2363","8.3121","8.3369","8.2230","-1.04%"
"Sep 07, 2015","8.3232","8.3042","8.3443","8.2768","0.25%"
"Sep 04, 2015","8.3028","8.2818","8.3357","8.2323","0.25%"
"Sep 03, 2015","8.2823","8.2422","8.3293","8.2248","0.49%"
"Sep 02, 2015","8.2422","8.2876","8.3250","8.2162","-0.55%"
"Sep 01, 2015","8.2875","8.2773","8.3681","8.2515","0.08%"
"Aug 31, 2015","8.2806","8.2794","8.3953","8.2343","-0.06%"
"Aug 28, 2015","8.2855","8.3052","8.3408","8.2388","-0.15%"
"Aug 27, 2015","8.2976","8.3754","8.3864","8.2809","-0.98%"
"Aug 26, 2015","8.3798","8.2258","8.4030","8.1939","1.85%"
"Aug 25, 2015","8.2273","8.2068","8.2873","8.1179","0.19%"
"Aug 24, 2015","8.2118","8.2010","8.2486","8.0704","0.17%"
"Aug 21, 2015","8.1975","8.2355","8.2508","8.1822","-0.39%"
"Aug 20, 2015","8.2293","8.3037","8.3476","8.2136","-0.84%"
"Aug 19, 2015","8.2986","8.2856","8.3670","8.2525","0.14%"
"Aug 18, 2015","8.2870","8.2157","8.3009","8.2020","0.91%"
"Aug 17, 2015","8.2120","8.2085","8.2879","8.1827","-0.30%"
"Aug 14, 2015","8.2370","8.2223","8.2491","8.1551","0.21%"
"Aug 13, 2015","8.2194","8.1452","8.2325","8.1274","0.82%"
"Aug 12, 2015","8.1527","8.2757","8.3102","8.1098","-1.50%"
"Aug 11, 2015","8.2767","8.1978","8.2931","8.1750","0.94%"
"Aug 10, 2015","8.1994","8.2631","8.2772","8.1812","-0.84%"
"Aug 07, 2015","8.2690","8.2710","8.3311","8.2440","-0.10%"
"Aug 06, 2015","8.2769","8.2538","8.3060","8.2294","0.26%"
"Aug 05, 2015","8.2554","8.2916","8.3071","8.2265","-0.49%"
"Aug 04, 2015","8.2958","8.2493","8.2983","8.1769","0.51%"
"Aug 03, 2015","8.2540","8.1633","8.2552","8.1562","0.98%"
"Jul 31, 2015","8.1737","8.1704","8.2152","8.0678","0.01%"
"Jul 30, 2015","8.1728","8.1530","8.1986","8.1229","0.24%"
"Jul 29, 2015","8.1531","8.1709","8.2122","8.0924","-0.16%"
"Jul 28, 2015","8.1659","8.1703","8.2154","8.1405","-0.09%"
"Jul 27, 2015","8.1731","8.2007","8.2147","8.1247","-0.37%"
"Jul 24, 2015","8.2035","8.1728","8.2293","8.1627","0.32%"
"Jul 23, 2015","8.1771","8.1573","8.1995","8.1230","0.23%"
"Jul 22, 2015","8.1585","8.1110","8.1990","8.0914","0.55%"
"Jul 21, 2015","8.1140","8.2442","8.2718","8.1060","-1.50%"
"Jul 20, 2015","8.2379","8.1660","8.2444","8.1510","0.75%"
"Jul 17, 2015","8.1768","8.1547","8.1943","8.1206","0.20%"
"Jul 16, 2015","8.1608","8.1540","8.1961","8.1017","0.07%"
"Jul 15, 2015","8.1547","8.0997","8.1889","8.0920","0.67%"
"Jul 14, 2015","8.1003","8.0926","8.2022","8.0732","0.15%"
"Jul 13, 2015","8.0878","8.0105","8.0981","7.9864","0.90%"
"Jul 10, 2015","8.0159","8.1399","8.1471","7.9349","-1.53%"
